Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 100nF, C_0402","14","C1,C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9","","",""
"Non-Polarized Capacitor, TBDF, SMD_0402_1005Metric","16","C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","","",""
", SOT-363_SC-70-6","2","D1,D2","PESD3V3L5UY","Texas Instruments Inc.",""
"USB Connectors, USB-SMD_TYPE-C16PIN-1","1","J1","TYPE-C-2.0-16PIN-SMT-3-OR","CIKI(皓富)",""
"Connector","1","J2","DS1139-06-08SS4BSR","CONNFLY Elec",""
"Connector","1","J3","5034801000","Molex",""
"Connector, JST_B2B-PH-K-S","1","J4","B2B-PH-K-S","JST",""
"Female Headers, HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","1","J5","2.54-2*20","ZHOURI(洲日)",""
"Resistor, 5.1kΩ, R_0402","2","R1,R2","","",""
"Resistor, 10kΩ, R_0402","3","R3,R4,R5","","",""
"Resistor, 4.7kΩ, R_0402","2","R6,R7","","",""
"Resistor, 100kΩ, R_0402","1","R8","","",""
"Resistor, TBDΩ, SMD_0402_1005Metric","12","R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R9","","",""
"Tactile Switches, SW-SMD_L3.9-W3.0-P4.45","2","SW1,SW2","TS-1088-AR02016","XUNPU(讯普)",""
"Module","1","U1","ESP32-S3-WROOM-1-N16R8","Espressif Systems",""
"Analog To Digital Converters (ADCs), TQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","1","U2","ADS1298IPAGR","TI(德州仪器)",""
", WLCSP-9_1p75MMx1p75MM_MP2662_MNP","1","U3","MP2662","Monolithic Power Systems",""
"Integrated Circuit","1","U4","AP2112K-3.3TRG1","Diodes Incorporated",""
"Integrated Circuit","1","U5","REF5025IDGK","Texas Instruments",""
