Designator,Quantity,Element UIDs,Part UID,Specification,Part Type,Domain,Compliance,JLCPCB Part Class,Operating Voltage,Operating Temperature,Reliability Target (MTBF),Role,Role Details,Software,Connector Type,Connector Gender,Connector Pitch,Connector Positions,Connector Rows,Power Requirements,Connectivity,Human Interface,Manufacturing Quantity Target,Manufacturer Part Number,LCSC Part Number,Digi-Key Part Number,Mouser Part Number,Arrow Part Number,Verical Part Number,TME Part Number,HQonline Part Number,Allow Substitutes,Manufacturer Name,Price Change Threshold,Lead Time Change Threshold,Pricing Notification Frequency,Preferred Distributors,Datasheet URL,Machine Datasheet URL,Implementation Details,License,Package or Case Code,Pin Type,Voltage,Voltage Rating,Forward Voltage,Reverse Voltage,Max Reverse Voltage,Diode Type,Mount,Integrated Circuit Type,Breakdown Voltage,Threshold Voltage,Max Output Voltage,Min Output Voltage,Initial Voltage on Reset,Resistance,Resistor Type,Gate Resistance,On Resistance,Off Resistance,Tolerance,Capacitance,Capacitor Type,Power,Power Rating,Current,Max Current,Desired Temperature Rise,Current Rating,Leakage Current,Saturation Current,Initial Current on Reset,Trigger Current,Holding Current,Frequency,Logic Function,Inductance,Inductor Shielding,Inductor Type,Beta,Drain to Source Voltage,Continuous Drain Current,Transistor Type,Gain,Coupling Coefficient,Ratio,Reference Design URL,Price,Purchase Url,Product Info Url,Product Image Url,Substitute Manufacturer Part Number,KiCAD Library Reference,Exclude from PCB,Controlled Impedance,Controlled Impedance Tolerance,PN Skew Max,Pair to Pair Skew Max,Pin Delay,Controlled Impedance Pair,Bus Group,Pair Role,Pin Role,Bus Type,Symbol Style,Symbol Size,Net Type,Package,Designator Prefix
"C1,C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9","14","0d8803f5-3950-4f31-ac4f-d7af5222ea92,19c01829-da04-48f4-b311-80b14076f7da,33ed5d75-fa64-4ff2-8be3-5f331225a3b6,3522aa78-e54c-4fae-824f-bbef690f43c0,39e098dd-64ab-4090-a223-15fa79cb726d,403b0d6b-ac29-41ef-bff6-80244170f534,48ffd5b4-7c59-4106-b887-58f63377e86f,557e644e-be5e-4651-a60b-569712ea20a7,5867e327-3027-4d89-a02b-370dc90c6488,6153a2c1-15f6-474e-bc90-2fe9e1e1100e,787819ed-6110-4a7d-8c23-4c1ce4fdfbd0,989587d3-3ee8-4643-a9b0-ead9fc492753,a2798ec9-3d53-4795-9b82-bec18439b380,abd18cdd-9a1c-49e8-a7bb-8a491278cc65","46707925-236f-106b-e676-afa2757aa1d6","Non-Polarized Capacitor, 100nF, C_0402","Non-Polarized Capacitor","","","","","","","Decoupling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16V","","","","","","","","","","","","","","","","","%","100nF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C_0402","C"
"C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","16","1bacc7a1-94b7-45ee-af86-c784aedf559f,1ea4278b-1884-451c-aaf5-7c78cb1ef4f0,2d04393f-4223-461a-90ec-de76843da333,3111a7f3-465c-4066-aa12-157107c5e73c,3bad6ac7-e238-44f5-b94a-584f6b4fae5f,8a038bd6-7bb8-4cd5-8975-2a441fb8780b,8b2031a5-0007-4e0b-b24d-1433c655eb93,8cc2cfbb-2a09-403f-83e9-96ab54c9ae69,90c9f169-c1bf-4093-90c7-a27152bbe9ca,97549c02-a3ad-4efa-9f24-e18bf56f52e8,a5e8e82d-ef52-4b76-8fa8-c7cf6f0a4273,bec4b6c3-3384-4485-bec0-054105e615ea,da65bcfb-1652-45fe-b2cc-988894ab663d,eada30e8-65f3-4752-9d04-7ad0f0d80ca9,eecc3cc3-a13c-4fe6-be23-4df99b2c1ca3,f2bd8dae-6258-42cf-a635-55b07e7608a2","46707925-236f-106b-e676-afa2757aa1d6","Non-Polarized Capacitor, TBDF, SMD_0402_1005Metric","Non-Polarized Capacitor","","","","","","","Filtering","TBD ECG input/RLD filter capacitor; use low-leakage C0G/NP0 where capacitance permits and finalize before PCB layout.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16V","","","","","","","","","","","","","","","","","%","TBDF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SMD_0402_1005Metric","C"
"D1,D2","2","a28f92fe-d88d-4b4f-b566-8a9815b5e2a4,f3d7cd99-61bb-44ff-bb6c-a09bac4fe2f1","556693e3-3ae9-4f5c-b4b2-a6e3e50a9295",", SOT-363_SC-70-6","","","","","","","","Electrode ESD Protection","Five-channel low-capacitance ESD arrays placed at electrode connector before AFE filters.","","","","","","","","","","","PESD3V3L5UY","","","","","","","","","Texas Instruments Inc.","","","","","","","","","SOT-363_SC-70-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D"
"J1","1","efb0c5ea-b99a-49b0-91c3-272a2124a5f6","ccdb4ee6-bbe5-4221-ad0b-8084f19c80ce","USB Connectors, USB-SMD_TYPE-C16PIN-1","USB Connectors","","","Extended Part","","","","USB-C Connector","Sink-only USB-C for charging and USB2 D+/D- to ESP32-S3 native USB.","","","","","","","","","","","TYPE-C-2.0-16PIN-SMT-3-OR","C2987387","","","","","","","","CIKI(皓富)","","","","","","","","","USB-SMD_TYPE-C16PIN-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","USB"
"J2","1","c86859a1-68f0-455e-a8c0-bfd9151cf96c","82699ff6-1b6d-4fc6-844b-61cb2c5a297a","Connector","Connector","","","","","","","microSD Socket","SPI-mode microSD logging interface with local decoupling and pull-ups.","","Card Edge Connectors","","","","","","","","","DS1139-06-08SS4BSR","C86574","","","","","","","","CONNFLY Elec","","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","J"
"J3","1","4abe10a8-f95b-4594-a4b8-17dbbf5709a2","644d4acd-2e23-45f4-9bbd-8114ae0ee3e1","Connector","Connector","","","","","","","ECG Electrode Connector","10 electrodes: RA, LA, LL, RL/RLD, V1-V6; route through ESD/protection/filtering to ADS1298 inputs.","","","","","","","","","","","5034801000","","","","","","","","","Molex","","","","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","J"
"J4","1","1aa75eea-f659-4ade-a533-fc0f81a22182","0978de42-6df0-416f-bd01-a52dd603c45a","Connector, JST_B2B-PH-K-S","Connector","","","","","","","Power Input","Battery powered only; JST-PH connector for protected single-cell LiPo pack.","","","","","","","","","","","B2B-PH-K-S","","","","","","","","","JST","","","","","","","","https://creativecommons.org/licenses/by/4.0/","JST_B2B-PH-K-S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","J"
"J5","1","d71adb2f-c672-46c7-a5ed-7ac112c80ca3","1c3e67e1-9bee-421a-a253-82c91635852f","Female Headers, HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","Female Headers","","","Extended Part","","","","Connector","Expansion header carrying 3V3, GND, SPI, I2C, sync/control GPIO, and spare GPIO for additional ECG channel modules.","","","","","","","","","","","2.54-2*20","C2977589","","","","","","","","ZHOURI(洲日)","","","","","","","","https://creativecommons.org/licenses/by/4.0/","HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","parametric-v1","","","","J"
"R1,R2","2","916b9134-c4ef-45c6-86d5-508021715559,af6e5469-d356-4e4e-a4de-add4c1d55c49","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 5.1kΩ, R_0402","Resistor","","","","","","","Pull Up / Down","USB-C CC2 sink pull-down to GND.,USB-C CC1 sink pull-down to GND.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","5.1kΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R_0402","R"
"R3,R4,R5","3","39ef336c-ba2c-48b5-a13d-e2b40c6e4de6,9201d36c-f4e9-4475-a4b3-efd23abf2777,aa733cc8-d6d7-40c2-a4b3-9973491bfbf1","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 10kΩ, R_0402","Resistor","","","","","","","Pull Up / Down","ESP32 GPIO0 boot pull-up.,ADS1298 CS pull-up default inactive.,ESP32 EN pull-up.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","10kΩ","","","","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","R_0402","R"
