Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"Non-Polarized Capacitor 100nF C_0402","C1, C10, C11, C12, C13, C14, C2, C3, C4, C5, C6, C7, C8, C9","","",""
"Non-Polarized Capacitor TBDF SMD_0402_1005Metric","C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30","","",""
"PESD3V3L5UY","D1, D2","SOT-363_SC-70-6","",""
"TYPE-C-2.0-16PIN-SMT-3-OR","J1","USB-SMD_TYPE-C16PIN-1","","C2987387"
"DS1139-06-08SS4BSR","J2","","","C86574"
"5034801000","J3","","",""
"B2B-PH-K-S","J4","JST_B2B-PH-K-S","",""
"2.54-2*20","J5","HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","","C2977589"
"Resistor 5.1kΩ R_0402","R1, R2","","",""
"Resistor 10kΩ R_0402","R3, R4, R5","","",""
"Resistor 4.7kΩ R_0402","R6, R7","","",""
"Resistor 100kΩ R_0402","R8","","",""
"Resistor TBDΩ SMD_0402_1005Metric","R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R9","","",""
"TS-1088-AR02016","SW1, SW2","SW-SMD_L3.9-W3.0-P4.45","","C720477"
"ESP32-S3-WROOM-1-N16R8","U1","","",""
"ADS1298IPAGR","U2","TQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","","C527440"
"MP2662","U3","WLCSP-9_1p75MMx1p75MM_MP2662_MNP","",""
"AP2112K-3.3TRG1","U4","","",""
"REF5025IDGK","U5","","",""
