Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Package/Footprint,Type,Your Instructions / Notes
"1","C1,C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9","14","","","Non-Polarized Capacitor, 100nF, C_0402","","",""
"2","C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","16","","","Non-Polarized Capacitor, TBDF, SMD_0402_1005Metric","","",""
"3","D1,D2","2","Texas Instruments Inc.","PESD3V3L5UY",", SOT-363_SC-70-6","SOT-363_SC-70-6","",""
"4","J1","1","CIKI(皓富)","TYPE-C-2.0-16PIN-SMT-3-OR","USB Connectors, USB-SMD_TYPE-C16PIN-1","USB-SMD_TYPE-C16PIN-1","",""
"5","J2","1","CONNFLY Elec","DS1139-06-08SS4BSR","Connector","","",""
"6","J3","1","Molex","5034801000","Connector","","",""
"7","J4","1","JST","B2B-PH-K-S","Connector, JST_B2B-PH-K-S","JST_B2B-PH-K-S","",""
"8","J5","1","ZHOURI(洲日)","2.54-2*20","Female Headers, HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","HDR-TH_40P-P2.54-V-F-R2-C20-S2.54","",""
"9","R1,R2","2","","","Resistor, 5.1kΩ, R_0402","","",""
"10","R3,R4,R5","3","","","Resistor, 10kΩ, R_0402","","",""
"11","R6,R7","2","","","Resistor, 4.7kΩ, R_0402","","",""
"12","R8","1","","","Resistor, 100kΩ, R_0402","","",""
"13","R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R9","12","","","Resistor, TBDΩ, SMD_0402_1005Metric","","",""
"14","SW1,SW2","2","XUNPU(讯普)","TS-1088-AR02016","Tactile Switches, SW-SMD_L3.9-W3.0-P4.45","SW-SMD_L3.9-W3.0-P4.45","",""
"15","U1","1","Espressif Systems","ESP32-S3-WROOM-1-N16R8","Module","","",""
"16","U2","1","TI(德州仪器)","ADS1298IPAGR","Analog To Digital Converters (ADCs), TQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","TQFP-64_L10.0-W10.0-P0.50-LS12.0-BL","",""
"17","U3","1","Monolithic Power Systems","MP2662",", WLCSP-9_1p75MMx1p75MM_MP2662_MNP","WLCSP-9_1p75MMx1p75MM_MP2662_MNP","",""
"18","U4","1","Diodes Incorporated","AP2112K-3.3TRG1","Integrated Circuit","","",""
"19","U5","1","Texas Instruments","REF5025IDGK","Integrated Circuit","","",""
