Designator,Manufacturer Part Number or Seeed SKU,QTY,Link
"C1,C10,C11,C12,C13,C14,C2,C3,C4,C5,C6,C7,C8,C9","","14",""
"C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30","","16",""
"D1,D2","PESD3V3L5UY","2",""
"J1","TYPE-C-2.0-16PIN-SMT-3-OR","1",""
"J2","DS1139-06-08SS4BSR","1",""
"J3","5034801000","1",""
"J4","B2B-PH-K-S","1",""
"J5","2.54-2*20","1",""
"R1,R2","","2",""
"R3,R4,R5","","3",""
"R6,R7","","2",""
"R8","","1",""
"R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R9","","12",""
"SW1,SW2","TS-1088-AR02016","2",""
"U1","ESP32-S3-WROOM-1-N16R8","1",""
"U2","ADS1298IPAGR","1",""
"U3","MP2662","1",""
"U4","AP2112K-3.3TRG1","1",""
"U5","REF5025IDGK","1",""
